CERCID,SEX,AGE,CHILDREN,FORMALED,MMAT,MARKET1,MARKET2,INGFIRST,EXUSED1,COREL.L,EXUSED2,COREL.S,INGFIRST_DG,COREL.L_DG,COREL.S_DG,LGPUNISH,LGDIE,LGFEEL,LGSEE,LGPERFHO,LGBLV,LGTHINK,BGPUNISH,BGDIE,BGFEEL,BGSEE,BGPERFHO,BGBLV,BGTHINK
A47,1,37,2,12,0.5,90,90,0,1,14,1,14,1,5,4,1,1,1,1,1,1,4,1,1,1,1,2,1,4
A48,0,30,2,12,1,60,NA,0,1,13,4,14,0,0,0,1,1,1,1,1,1,3,1,1,1,1,3,1,4
A49,1,36,3,12,0.5,30,30,0,1,14,1,11,0,0,2,1,0,0,0,0,0,0,1,0,1,0,3,1,4
A50,1,33,0,15,0.75,80,NA,1,2,NA,2,16,0,4,9,1,1,1,1,1,1,2,1,1,1,1,2,1,4
A51,0,39,4,12,0.75,50,80,0,1,15,5,16,0,0,10,1,NA,1,1,4,1,4,0,1,1,1,3,1,4
A52,0,39,7,6,1,0,0,0,1,12,3,11,1,1,0,1,1,1,1,1,1,4,1,1,1,1,3,1,4
A53,0,20,1,12,1,80,80,0,1,7,1,15,1,4,3,1,0,1,1,0,1,4,1,1,1,1,0,1,4
A54,0,20,0,12,1,30,50,0,1,15,3,11,0,6,6,1,1,1,0,0,1,2,1,1,1,1,3,1,4
A55,0,75,9,2,1,NA,NA,NA,3,16,1,15,NA,5,4,1,1,1,1,0,1,2,0,1,1,1,3,1,4
A56,0,22,1,12,0.75,5,45,1,2,11,1,9,0,5,3,1,0,0,0,4,1,1,0,1,1,1,3,1,4
A57,0,32,1,14,0,90,60,1,1,13,3,13,1,5,5,1,1,1,1,1,1,3,1,1,1,1,2,1,3
A59,0,18,0,11.5,1,70,60,1,1,17,1,17,0,5,8,1,0,0,0,0,1,3,1,1,1,1,2,1,4
A60,0,25,2,12,1,80,80,0,1,14,1,16,0,5,5,0,0,0,0,0,1,4,1,0,1,1,2,1,4
A62,0,29,3,16,1,30,NA,0,1,16,1,18,1,4,4,1,0,0,0,2,1,2,1,1,1,1,2,1,4
A63,0,36,2,16,0.75,100,50,0,1,13,3,16,0,5,4,1,0,1,1,1,1,2,1,0,1,1,3,1,4
A64,0,34,1,16,1,70,50,0,1,18,3,18,0,4,4,1,1,1,1,1,1,4,1,1,1,1,2,1,4
A65,1,21,1,11,1,60,40,1,NA,11,1,14,0,5,4,1,1,1,1,1,1,4,1,1,1,1,3,1,4
A66,0,57,1,18,0.5,100,100,1,3,10,1,14,0,4,4,1,1,1,0,1,1,4,0,1,0,0,2,1,4
A67,0,68,7,0,0.25,NA,NA,0,1,16,1,17,0,10,0,0,1,1,1,2,1,4,1,1,1,1,3,1,4
A70,0,45,1,12,1,50,50,0,3,17,3,16,1,5,5,0,0,0,0,1,0,0,1,1,1,1,3,1,4
