SITE	RESEARCHER	Assistant	ID	GODSPIRIT	GODSPIRIT.C	ORDERG
Anororo	Anders Norge	Fara	8	Salovambolo	Salovambolo	5
Anororo	Anders Norge	Fara	9	Salovambolo	Salovambolo	1
Anororo	Anders Norge	Fara	10	Salovambolo	Salovambolo	3
Anororo	Anders Norge	Fara	11	Salovambolo	Salovambolo	4
Ambohimahavelona	Anders Norge	Fara	14	Salovambolo	Salovambolo	3
TanambaoII Anororo	Anders Norge	Fara	35	Salovambolo	Salovambolo	4
Anororo center	Anders Norge	Fara	15	Tsierena	Tsierena	3
Tsaraseranana Anororo	Anders Norge	Fara	16	Velomahatody	Velomahatody	5
Ambohimahavelona	Anders Norge	Fara	14	Zakamiarina	Zakamiarina	4
Tanambao II Anororo	Anders Norge	Fara	24	Zanaharin'i Ivonne (Ivonne'spirit)	Zanahary 	1
Anororo center	Anders Norge	Fara	15	Zanaharin'i Liza	Zanahary 	1
Anororo	Anders Norge	Fara	7	Zanahary 	Zanahary 	1
Anororo	Anders Norge	Fara	4	Zanahary (possessed people)	Zanahary 	1
Anororo	Anders Norge	Fara	3	Zazavavindrano (siren)	zazavavin.	5
Anororo	Anders Norge	Fara	4	Zazavavindrano (siren)	zazavavin.	4
Tsaraseranana Anororo	Anders Norge	Fara	22	Zazavavindrano (Liza)	zazavavin.	4
Anororo	Anders Norge	Fara	27	Volanoro	zazavavin.	1
Tanambao II Anororo	Anders Norge	Fara	29	Volanoro	zazavavin.	1
Tsaraseranana Anororo	Anders Norge	Fara	30	Volanoro	zazavavin.	1
Tsaraseranana Anororo	Anders Norge	Fara	31	zazavavindrano	zazavavin.	2
Anororo	Anders Norge	Fara	36	zazavavindrano	zazavavin.	1
