CERCID,SEX,AGE,CHILDREN,FORMALED,MMAT,FISHER,INGFIRST,EXUSED1,COREL.L,EXUSED2,COREL.S,INGFIRST_DG,COREL.L_DG,COREL.S_DG,LGPUNISH,LGDIE,LGFEEL,LGSEE,BGPUNISH,BGDIE,BGFEEL,BGSEE,LGPERFHO,LGBLV,LGTHINK,BGPERFHO,BGBLV,BGTHINK
EX084,0,49,3,5,1,0,1,2,16,2,17,1,5,5,0,NA,0,0,1,NA,0,0,0,0,0,0,0,0
EX096,1,66,NA,15,0.25,0,1,2,14,2,18,1,4,4,1,NA,1,1,1,0,1,1,0,1,0,2,1,4
EX037,0,54,3,9,0,0,1,2,17,2,15,1,3,4,1,0,NA,0,1,0,1,0,1,1,2,2,1,2
EX072,1,32,3,6,0.25,0,1,2,17,2,14,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EX008,1,80,1,5,0.25,0,0,2,14,2,9,0,5,5,0,0,NA,0,0,0,NA,NA,0,0,0,1,1,0
EX094,0,59,3,5,0,0,1,2,16,2,16,0,4,5,1,0,NA,NA,1,0,NA,NA,0,1,0,1,1,1
EX001,1,59,3,12,0,0,1,2,13,2,20,0,3,4,1,NA,0,0,1,NA,1,1,0,1,0,1,1,1
EX043,1,31,1,13,1,0,0,2,14,2,13,0,5,5,1,1,1,1,0,NA,1,1,0,1,2,0,1,2
EX052,1,NA,NA,0,NA,NA,1,2,17,2,17,1,5,4,1,0,1,1,NA,0,0,0,0,0,1,0,0,0
EX066,1,78,7,4,0.25,0,0,2,17,2,13,1,3,2,1,0,1,1,1,0,1,1,0,1,0,2,1,2
EX035,1,22,1,11,0,1,0,2,16,2,19,0,7,3,1,NA,1,1,1,0,1,1,0,1,3,2,1,4
EX006,0,52,2,10,0.5,0,1,2,12,2,10,1,0,3,0,NA,1,1,1,NA,1,1,0,1,0,0,1,0
